Title,Description,Priority,Status,Labels,Estimate
Fix Keys-stay confirm/release TOCTOU double-mint,"SEC-KEYS-01/02. releaseKeysStay (stay.ts:366) and confirmKeysStay (stay.ts:311) run at READ COMMITTED with non-locking findUnique then flip status where:{id}. Concurrent requests double-run release/spend/earn, minting Keys. Fix: conditional updateMany({where:{id,status:'pending'}}) count===1 + per-transition eventKey + KeysTransaction unique constraint. Dual schema.",Urgent,Backlog,security;keys;backend,3
Repair test harness (37 failing on main),"Mock Prisma returns {increment:N} where tests expect scalars; some route tests hit undefined swapAgreement mock. Fails identically at fdc0e5f (not a merge regression). Restore the suite as a CI gate.",Urgent,Backlog,testing;infra,3
Gift cap + welcome-bonus concurrency safety,"SEC-KEYS-03/04. Gift daily/monthly caps use aggregate in READ COMMITTED tx (keys/gift/route.ts:72-91) — concurrent gifts bypass. Welcome bonus (ledger.ts:269-287) has eventKey=null. Fix: Serializable/atomic counter for caps; deterministic eventKey welcome_bonus:<userId>.",High,Backlog,security;keys;backend,2
Block suspended users from Keys-stay/couch requests,"JRN-HPre-03. proposals blocks suspended callers (proposals/route.ts:126-133); keys/stays POST never checks suspendedAt. Add accountSuspended() gate.",High,Backlog,security;keys;backend,1
Durable rate-limit on OTP-verify + passkey login,"SEC-AUTH-01. otp/verify/route.ts:12,24 + passkey login options/verify use in-memory checkRateLimit (no-op in serverless). Switch to checkRateLimitDurable.",High,Backlog,security;auth;backend,1
Keys-stay completion lifecycle,"JRN-HP-01/GP-02. No code writes KeysStay.status='completed'; story/reviews/reconciliation dead-end. Add completion cron mirroring agreements-complete (confirmed->completed when dateTo<now), notify host.",High,Backlog,keys;lifecycle;backend,3
Property-ownership docs off the public bucket,"JRN-HPre-01. OwnerVerificationSheet uploads deeds/leases via public listing-photo pipeline; persisted as public URLs while UI promises 'not stored'. Private/signed storage or corrected copy. GDPR.",High,Backlog,security;privacy;ios,3
iOS Dynamic Type support,"HIG-01. SwaplFonts uses .custom(size:) with no relativeTo:; system text size changes nothing. App Store accessibility risk. Add relativeTo: mapping + minimumScaleFactor.",High,Backlog,ios;accessibility;design,5
Keys-stay guest info + home guide + dispute + review (epic),"JRN theme. Confirmed Keys stay: no home guide to guest, no dispute path, no review either side, minimal guest info to host. Epic: guide payload, generalized disputes accepting KeysStay, review path, guest trust signals.",High,Backlog,keys;lifecycle;epic,8
iOS Inspire/proposal human errors + upgrade path,"JRN-GPre-01/02/04. iOS shows raw error codes (serverMessage reads 'error' not 'message'); disabled Propose with no listing-create CTA; no 402 upgrade sheet. Fix all three.",High,Backlog,ios;ux,3
Session revocation (sessionEpoch),"SEC-AUTH-02 / SWP-020. Stateless web cookie non-revocable up to 30d, survives password change + suspension. Add sessionEpoch to User, stamp into cookie, reject stale, bump on password-change + suspend.",High,Backlog,security;auth;backend,3
Mask pending co-traveler email for non-principals,"SEC-PRIV-02. proposals/[id]/participants/route.ts:87-98 returns raw invitedEmail to any thread participant incl active guests. Return only to principals or mask.",Medium,Backlog,security;privacy;backend,1
Guard JSON.parse on photos/destinations,"SEC-INPUT-01. Unguarded JSON.parse (agreements/[id]/trip:103; trip/check-event:69,87,132; travel-windows:40) deviates from parseJSON() convention; latent 500. Route through parseJSON<string[]>(v,[]).",Medium,Backlog,robustness;backend,1
Web error colors to text-destructive token,"DS-WEB-04. 57 hardcoded #dc2626 bypass --destructive token, don't flip in dark mode. Replace with text-destructive utility / FormError component.",Medium,Backlog,design;web,2
Encrypt at-rest secrets,"SEC-PRIV-01 / SWP-007. aiApiKey/keyCode1/2/wifiPassword plaintext (schema.prisma:46,708-709,751). App-layer aes-256-gcm envelope + KMS.",Medium,Backlog,security;privacy;backend,5
Require at least 1 photo to publish a listing,"JRN-HPre-04. photos schema has no min (validators.ts:50); neither client validates. Add min via OpenAPI-coordinated change + client checks.",Medium,Backlog,listings;backend;ios;web,2
Keys-stay host notification email + hold expiry,"JRN-HP-03. Request notifies host by push only (keys/stays/route.ts:101); held Keys sit pending forever. Add email + auto-release after N days.",Medium,Backlog,keys;notifications;backend,2
Host guest-visibility on Keys-stay request,"JRN-HPre-02. DTO returns name+avatar only; no verified/member-since/profile link unlike swaps. Add trust signals + profile link.",Medium,Backlog,keys;ux;backend;ios,2
iOS availability window editing + open/closed parity,"JRN-HPre-05. iOS hardcodes today->+12mo, no edit; open-vs-closed default diverges from web. Expose dates in iOS create/edit; unify default.",Medium,Backlog,ios;listings,3
iOS check-in/out submit-error surfacing,"JRN-GP-05. CheckEventSheet has no submit-error display; error hidden behind open sheet. Return success Bool, show inline, keep open on failure.",Medium,Backlog,ios;ux,1
Primary CTA contrast to WCAG AA,"HIG-03. White on #F24B8E at 15pt = 3.4:1. Darken pink ~#D81B60 or bold >=14pt. Rebuild tokens.",Medium,Backlog,design;accessibility,2
Web design token pipeline,"DS-WEB-01/02/07. app never imports @swapl/design-tokens; palette triplicated by hand; generated outputs drifted, no drift CI. Emit CSS vars from tokens, dedupe, add check:drift.",Medium,Backlog,design;web;infra,5
iOS theme adoption so appearance toggle works,"DS-IOS-01. SwaplTheme bypassed app-wide (554 SwaplSemanticLight + 864 AirbnbPalette refs, 4 theme reads); shipped Apple look broken. Route content colors through theme.* or hide toggle.",Medium,Backlog,design;ios,5
